industry,model,MAE,RMSE,MAPE(%)
        Accommodation and Food Services,ARIMA,0.03505571683420305,0.049058622681589004,
        Accommodation and Food Services,Prophet,0.05162517990081041,0.06125933957096373,5.551360394881444
        Accommodation and Food Services,LSTM,0.09493911998441107,0.09507901834449094,10.265858368930658
        Finance and Insurance,ARIMA,0.1603866278223956,0.16545098544212625,
        Finance and Insurance,Prophet,0.24077360881975185,0.2431457893235549,inf
        Finance and Insurance,LSTM,0.42411811371003433,0.4391454097840464,inf
        Health Care and Social Assistance,ARIMA,0.11173413005524074,0.11261442511899211,
        Health Care and Social Assistance,Prophet,0.1531034489962963,0.15466589547888107,16.547537346451517
        Health Care and Social Assistance,LSTM,0.30730965450302156,0.3214328125006725,32.660460848674255
"        Professional, Scientific, and Technical Services",ARIMA,0.053089535648392305,0.06257774312368543,
"        Professional, Scientific, and Technical Services",Prophet,0.15405932077953152,0.16088421088466576,18.34150265533404
"        Professional, Scientific, and Technical Services",LSTM,0.24804588294695065,0.24856094292957934,29.244120589157298
"        Transportation, Warehousing, and Utilities",ARIMA,0.026836372184951596,0.030757832098361224,
"        Transportation, Warehousing, and Utilities",Prophet,0.022232167815772585,0.028166378437380662,2.3424361652908567
"        Transportation, Warehousing, and Utilities",LSTM,0.10108589809439095,0.11288674730375571,10.67794763554486
      Financial Activities,ARIMA,0.1773463529506206,0.20526479165114506,
      Financial Activities,Prophet,0.09921511385737103,0.1221791216333838,63.100669678703056
      Financial Activities,LSTM,0.24334081164297197,0.2664766107362575,143.28933815633522
      Information,ARIMA,0.05091371834539262,0.0658106842684332,
      Information,Prophet,0.10480599991268084,0.10837980320329922,24.39622320052182
      Information,LSTM,0.09097045506338934,0.09844846149312551,21.41447179743725
      Leisure and Hospitality,ARIMA,0.03092664035041791,0.04296467263417502,
      Leisure and Hospitality,Prophet,0.08289130768963435,0.08806973145382457,8.710582281589161
      Leisure and Hospitality,LSTM,0.20188262744117344,0.20280613044137502,21.26108297698255
      Mining and Logging,ARIMA,0.06520831093752215,0.06537397125201562,
      Mining and Logging,Prophet,0.08148973025027043,0.08272545078857478,inf
      Mining and Logging,LSTM,0.19567957140263567,0.20003814393275884,inf
      Private Education and Health Services,ARIMA,0.11011139355676496,0.1108829691426928,
      Private Education and Health Services,Prophet,0.14779776737416336,0.14994293227669558,15.98608192987683
      Private Education and Health Services,LSTM,0.3519042791336931,0.36251490958095656,37.548174162147646
      Professional and Business Services,ARIMA,0.050798676572969166,0.06159862944834682,
      Professional and Business Services,Prophet,0.17544315733409221,0.18053536229725145,24.33485487209848
      Professional and Business Services,LSTM,0.0826447528638355,0.08452208610477113,11.308228586515018
Administrative and Support and Waste and Remediation Services,ARIMA,0.04872321446369501,0.0614363878965145,
Administrative and Support and Waste and Remediation Services,Prophet,0.19065131734523655,0.19563317812654443,33.515272970117884
Administrative and Support and Waste and Remediation Services,LSTM,0.0195444421558022,0.02216956638038975,3.3872846101744147
"Arts, Entertainment, and Recreation",ARIMA,0.023801704435849863,0.028647856049818798,
"Arts, Entertainment, and Recreation",Prophet,0.15352338826883646,0.1546827277469564,15.690928340578012
"Arts, Entertainment, and Recreation",LSTM,0.21419802233988397,0.21606609777637845,21.835790464951167
Construction,ARIMA,0.050374042127675885,0.05945828407418143,
Construction,Prophet,0.06969342664623902,0.07886968782664887,7.7268165146550425
Construction,LSTM,0.2049614571714423,0.20521606935496683,22.47104506208847
Durable Goods,ARIMA,0.16169200814043386,0.2000554023552256,
Durable Goods,Prophet,0.2305926929804761,0.2568655114829673,62.37911343981424
Durable Goods,LSTM,0.168007745012563,0.20148497862403714,47.23411758929508
Federal Government,ARIMA,0.017344608067921107,0.02434487529127307,
Federal Government,Prophet,0.01500528158115464,0.018589473387927033,6.804717590508945
Federal Government,LSTM,0.06175666562083948,0.06258918631586571,27.92712321340459
Goods Producing,ARIMA,0.08784695926458015,0.11064814794228979,
Goods Producing,Prophet,0.1568006359625849,0.17150898476268356,21.82068354844147
Goods Producing,LSTM,0.16742354418641345,0.17266244317404714,22.14189904139357
Government,ARIMA,0.10840918545545246,0.1106141597734282,
Government,Prophet,0.13586610213697503,0.13900589955385956,14.568453468730263
Government,LSTM,0.3500070953866328,0.36145374541582515,37.39590509012704
Local Government,ARIMA,0.12073499481593002,0.12696352276385012,
Local Government,Prophet,0.19178720195235158,0.19702862215339748,20.969984834714964
Local Government,LSTM,0.2835947603453906,0.30646564249627734,30.53335529294918
Management of Companies and Enterprises,ARIMA,0.03465980393096971,0.0396401266035747,
Management of Companies and Enterprises,Prophet,0.01866703472077767,0.023145245866319903,2.389818340003111
Management of Companies and Enterprises,LSTM,0.026346310088300573,0.028319991436432834,3.3620808148576686
Manufacturing,ARIMA,0.1407532769283036,0.16758654533986075,
Manufacturing,Prophet,0.14213657101172988,0.16103794745138325,29.421917098920375
Manufacturing,LSTM,0.1721268207001939,0.1970108625360699,35.78167508864288
Non-durable Goods,ARIMA,0.0888377626590266,0.09915868137074818,
Non-durable Goods,Prophet,0.030762222164882544,0.037116923251270646,6.149751942173237
Non-durable Goods,LSTM,0.21641267914320225,0.22157864335099536,44.056894224490215
Other Services,ARIMA,0.03313130220852691,0.038036684676733046,
Other Services,Prophet,0.0967192962700653,0.10219293713531101,9.948706939508627
Other Services,LSTM,0.12733200739407224,0.12795495962566059,13.113882058609635
Private Educational Services,ARIMA,0.08569051462594113,0.08930263730618707,
Private Educational Services,Prophet,0.02245316326045659,0.03258535665867024,2.4284457254414376
Private Educational Services,LSTM,0.42750752656012286,0.4315660308519803,45.938304829874994
Real Estate and Rental and Leasing,ARIMA,0.08475203123093222,0.1008643890413509,
Real Estate and Rental and Leasing,Prophet,0.14883512897242202,0.16709892196652432,19.593273007818656
Real Estate and Rental and Leasing,LSTM,0.21511409086285918,0.21684491779997836,27.434012823950415
Retail Trade,ARIMA,0.01674171967856905,0.028976774072438545,
Retail Trade,Prophet,0.037748725030652595,0.04412755226691829,5.0320049686201545
Retail Trade,LSTM,0.08711053771504067,0.08787294006949488,11.677973577852473
Service-Providing,ARIMA,0.04104442406872708,0.04535862605367439,
Service-Providing,Prophet,0.03382725973163476,0.03670618584682847,3.456953219511305
Service-Providing,LSTM,0.3254763216493078,0.32870928852486286,33.382235953331936
State Government,ARIMA,0.045669056361224876,0.05616735735985972,
State Government,Prophet,0.10999268525929118,0.1253974477158397,11.201559282722446
State Government,LSTM,0.3533675320805076,0.35455073626798117,35.8583376775387
Total Farm,ARIMA,0.0906906225981892,0.10195154545397514,
Total Farm,Prophet,0.10290459956684565,0.1253461019926309,14.012649210020447
Total Farm,LSTM,0.09890831281571517,0.13107688635731182,13.14094840689552
Total Nonfarm,ARIMA,0.14291283212377723,0.14697034659183675,
Total Nonfarm,Prophet,0.038619528186243084,0.04530899545848726,4.413251381837596
Total Nonfarm,LSTM,0.28079371309949047,0.29066220778501667,31.642137821613346
"Trade, Transportation, and Utilities",ARIMA,0.025200104152893504,0.03266754409461419,
"Trade, Transportation, and Utilities",Prophet,0.09283084543300124,0.09728384291563846,10.346967347373882
"Trade, Transportation, and Utilities",LSTM,0.1554949123541849,0.1602939731843407,17.195958145538278
Wholesale Trade,ARIMA,0.07347440847574248,0.08284252468726096,
Wholesale Trade,Prophet,0.06983480615609496,0.07773976929735806,13.3068550137458
Wholesale Trade,LSTM,0.14514579676901182,0.14966742657468726,28.67790078608537
